date,dublin_daily_mean_site_traffic,dublin_daily_median_site_traffic,dublin_daily_total_traffic,dublin_daily_n_sites,dublin_daily_n_regions
2021-05-01,14966.243225518747,14037.57142857143,12507607,864,7
2021-05-02,12794.240956863312,11572.857142857143,10665395,864,7
2021-05-03,11436.567791027019,10586.285714285714,9516882,863,7
2021-05-04,16300.69640660154,15371.5,13630512,863,7
2021-05-05,16559.577490604,15467.285714285714,13936738,863,7
2021-05-06,17149.5932168698,16134.92857142857,14458493,865,7
2021-05-07,17920.225608378976,17037.785714285714,15133373,866,7
2021-05-08,14971.554367878607,14153.714285714286,12545127,864,7
2021-05-09,12902.45836901497,11502.42857142857,10767281,864,7
2021-05-10,16803.592495359728,15754.42857142857,14089843,864,7
2021-05-11,17419.522592876405,16005.642857142857,14678272,866,7
2021-05-12,17497.22489510393,16398.214285714286,14770830,865,7
2021-05-13,17950.464027312202,16795.785714285714,15121415,865,7
2021-05-14,18534.46738081446,17227.285714285714,15614198,865,7
2021-05-15,15557.651486755696,14590.642857142857,13084394,866,7
2021-05-16,13664.158002511935,12397.214285714286,11523248,866,7
2021-05-17,17212.466981441492,15982.57142857143,14481108,866,7
2021-05-18,17416.761840247826,16300.214285714286,14761589,867,7
2021-05-19,18006.45176207252,16751.285714285714,15216232,868,7
2021-05-20,17774.6754758886,16376.92857142857,15009022,868,7
2021-05-21,18349.888736527126,16990.64285714286,15484829,869,7
2021-05-22,16172.956887563041,15165.357142857143,13558266,868,7
2021-05-23,13369.530455735807,12380.07142857143,11221858,868,7
2021-05-24,17227.686115895944,16068.785714285714,14493803,867,7
2021-05-25,16981.398689079786,15564.642857142857,14767851,875,7
2021-05-26,17982.56278807251,16788.785714285714,15178921,867,7
2021-05-27,18354.187742669397,17014.214285714286,15496488,868,7
2021-05-28,18682.366330424757,17335.285714285714,15768129,869,7
2021-05-29,16192.29703622397,15065.142857142857,13604575,867,7
2021-05-30,14501.638017045032,13144.642857142857,12288815,867,7
2021-05-31,17773.842468737683,16513.571428571428,15009066,868,7
2021-06-01,18049.454835669978,16903.714285714286,15270684,869,7
2021-06-02,18048.465507722583,16764.64285714286,15275756,869,7
2021-06-03,18634.03804281203,17386.785714285714,15763722,869,7
2021-06-04,18804.748360968097,17471.214285714286,15865996,868,7
2021-06-05,15464.407818447982,14363.0,12908163,868,7
2021-06-06,13392.648294986648,12142.07142857143,11183803,869,7
2021-06-07,13732.650548561072,12563.92857142857,11489179,869,7
2021-06-08,17243.62891209753,15807.357142857143,14914189,874,7
2021-06-09,18283.284965719628,16931.428571428572,15452884,869,7
2021-06-10,18802.441133739474,17514.0,15909192,868,7
2021-06-11,19149.33651753081,17674.85714285714,16166279,868,7
2021-06-12,16590.155887322242,15407.857142857143,13928831,868,7
2021-06-13,14596.206211744642,13301.642857142857,12317868,868,7
2021-06-14,17616.130418599576,16179.214285714286,14891554,867,7
2021-06-15,18184.257486743805,16819.35714285714,15379776,868,7
2021-06-16,18499.70963559351,17079.785714285714,15627719,867,7
2021-06-17,18767.297867208392,17431.214285714286,15893442,867,7
2021-06-18,19157.060765203576,17632.428571428572,16194225,867,7
2021-06-19,16576.74835151039,15626.142857142857,14022421,867,7
2021-06-20,14695.947685177394,13434.0,12392123,866,7
2021-06-21,17570.090865255246,16385.071428571428,14840719,867,7
2021-06-22,18042.881844480027,16822.85714285714,15223018,867,7
2021-06-23,18076.445368481796,16744.85714285714,15323520,868,7
2021-06-24,18532.603614251853,17239.0,15677901,867,7
2021-06-25,18847.949450854467,17529.928571428572,15938633,868,7
2021-06-26,16327.078674516819,15156.42857142857,13679544,867,7
2021-06-27,14655.264072911406,13378.0,12316605,867,7
2021-06-28,17388.705402998963,15968.42857142857,14704296,868,7
2021-06-29,17870.921004974072,16737.928571428572,15220326,869,7
2021-06-30,18388.81566553083,17196.35714285714,15578902,868,7
2021-07-01,18458.04749993244,17255.928571428572,15660159,868,7
2021-07-02,18582.077698946094,17177.14285714286,15773774,867,7
2021-07-03,16024.958666552247,14911.92857142857,13442040,866,7
2021-07-04,14252.395235462322,13255.857142857143,11950346,865,7
2021-07-05,17112.29651795782,15804.285714285714,14454391,866,7
2021-07-06,17372.881926916984,15927.92857142857,14688638,865,7
2021-07-07,17676.972640557888,16286.42857142857,14983575,866,7
2021-07-08,18339.89717023403,16989.785714285714,15544207,866,7
2021-07-09,18546.74939909025,17157.785714285714,15713810,867,7
2021-07-10,16136.840732379553,15185.0,13572242,867,7
2021-07-11,13930.041312542458,12653.285714285714,11740734,866,7
2021-07-12,17015.487974765212,15516.285714285714,14426770,868,7
2021-07-13,17572.455342148995,16043.714285714286,14902551,868,7
2021-07-14,17894.775932657583,16450.714285714286,15271054,868,7
2021-07-15,18198.51318949908,16849.5,15475516,866,7
2021-07-16,18464.374618297938,16901.5,15760235,867,7
2021-07-17,15809.751622364278,14283.42857142857,13380655,864,7
2021-07-18,14343.045376146214,12466.07142857143,12117211,864,7
2021-07-19,17016.494259282823,15378.214285714286,14455098,865,7
2021-07-20,17695.87497357807,16205.357142857143,15099713,867,7
2021-07-21,17985.112681603507,16347.714285714286,15296410,865,7
2021-07-22,18083.838939648096,16365.857142857143,15348528,866,7
2021-07-23,18482.86116730918,16874.64285714286,15663211,865,7
2021-07-24,15940.286127306072,14614.714285714286,13416520,865,7
2021-07-25,14210.114884198252,12696.642857142857,11990754,865,7
2021-07-26,16913.57091657796,15325.357142857143,14307529,866,7
2021-07-27,15750.521354592014,14236.42857142857,14299285,873,7
2021-07-28,17643.917981198658,15960.357142857143,14983305,867,7
2021-07-29,17997.69592505336,16249.92857142857,15300554,867,7
2021-07-30,18219.939111474447,16389.928571428572,15350911,865,7
2021-07-31,15293.656211443185,14061.785714285714,12767435,865,7
2021-08-01,13443.509949316565,11856.785714285714,11259765,865,7
2021-08-02,13325.878407555687,11845.714285714286,11130266,865,7
2021-08-03,16823.968043767196,15152.07142857143,14166486,865,7
2021-08-04,17275.638829568612,15610.714285714286,14585721,865,7
2021-08-05,17661.64225671568,16088.214285714286,14886845,866,7
2021-08-06,18240.970424882657,16590.071428571428,15341407,866,7
2021-08-07,15689.936432450462,14499.42857142857,13183889,866,7
2021-08-08,14291.657900131437,12962.142857142857,11983643,865,7
2021-08-09,16964.39549879994,15376.857142857143,14286646,865,7
2021-08-10,17389.116234742687,15966.357142857143,14728577,867,7
2021-08-11,17641.821575565715,16094.5,14916356,866,7
2021-08-12,18133.350124979606,16560.428571428572,15340250,865,7
2021-08-13,18525.900664983717,17010.85714285714,15607140,866,7
2021-08-14,15815.10725542539,14523.857142857143,13318742,865,7
2021-08-15,14318.769195009241,13013.642857142857,12046960,865,7
2021-08-16,16960.88625757343,15566.57142857143,14285500,866,7
2021-08-17,17512.28444620053,15994.0,14786003,867,7
2021-08-18,17829.334324151238,16446.14285714286,15090948,866,7
2021-08-19,18268.758480807457,16658.071428571428,15464990,866,7
2021-08-20,18608.685119727892,17157.5,15724476,867,7
2021-08-21,16305.10137186621,14856.785714285714,13663246,866,7
2021-08-22,15029.544136165161,13612.857142857143,12625023,866,7
2021-08-23,17539.289152490295,16076.857142857143,14877179,868,7
2021-08-24,17910.979610237577,16486.14285714286,15194138,869,7
2021-08-25,18280.227218797158,16747.071428571428,15623578,870,7
2021-08-26,18701.65151360342,17183.85714285714,15948531,870,7
2021-08-27,18949.360826025233,17307.5,16238693,872,7
2021-08-28,16597.38940901105,15091.07142857143,14122213,869,7
2021-08-29,14809.551182208632,13311.57142857143,12553790,870,7
2021-08-30,17839.073555020488,16163.42857142857,15105759,869,7
2021-08-31,18297.551167954523,16583.714285714286,15543168,869,7
2021-09-01,18655.7644137242,17115.785714285714,15863421,868,7
2021-09-02,19051.40094749368,17198.285714285714,16174805,868,7
2021-09-03,19487.8682769464,17711.571428571428,16520804,868,7
2021-09-04,17235.300879864597,16044.92857142857,14563878,868,7
2021-09-05,15395.3710780457,13997.857142857143,13031391,868,7
2021-09-06,17869.126671971786,16570.214285714286,15204012,868,7
2021-09-07,18617.509482219564,17059.0,15897000,868,7
2021-09-08,18754.558902285684,17244.928571428572,15983873,870,7
2021-09-09,18859.70652015749,17458.785714285714,16136106,872,7
2021-09-10,19494.447611024814,18083.428571428572,16620467,871,7
2021-09-11,17181.251948236913,16076.714285714286,14549480,870,7
2021-09-12,15353.858482175823,13898.07142857143,13006605,870,7
2021-09-13,17807.482415074945,16403.071428571428,15180220,873,7
2021-09-14,18331.423266372243,16955.5,15688921,873,7
2021-09-15,18597.779730600792,17032.35714285714,15933488,873,7
2021-09-16,19088.840106214757,17623.428571428572,16370849,874,7
2021-09-17,19483.55102846161,17791.14285714286,16675878,874,7
2021-09-18,17184.043757049,15745.0,14627832,873,7
2021-09-19,15351.114104366157,13912.5,13059877,872,7
2021-09-20,17859.32867855859,16396.785714285714,15375171,876,7
2021-09-21,18374.851168038487,17010.428571428572,15756740,873,7
2021-09-22,18523.379286630407,17084.214285714286,16030604,884,7
2021-09-23,19096.755175366292,17541.214285714286,16375171,875,7
2021-09-24,19428.537591396253,17905.64285714286,16631950,874,7
2021-09-25,17246.222381607327,16096.857142857143,14717627,874,7
2021-09-26,15518.111900820162,14071.214285714286,13175094,874,7
2021-09-27,17991.69260426046,16283.714285714286,15396807,874,7
2021-09-28,18436.395887909162,16772.785714285714,15804963,874,7
2021-09-29,18947.810497590373,17421.5,16288347,876,7
2021-09-30,19356.857730336902,17851.714285714286,16552503,875,7
2021-10-01,19916.20160905141,18646.64285714286,17020423,875,7
2021-10-02,17369.975868854086,16283.214285714286,14797463,875,7
2021-10-03,15231.013234346216,13685.285714285714,13009455,875,7
2021-10-04,18074.068095118488,16458.14285714286,15478119,875,7
2021-10-05,18558.095062736615,16965.928571428572,15906403,875,7
2021-10-06,18947.8598251674,17411.928571428572,16252888,875,7
2021-10-07,19315.980362657418,17836.14285714286,16573523,875,7
2021-10-08,19751.912771515148,18452.5,16931446,875,7
2021-10-09,17495.967256657947,16457.071428571428,14891191,875,7
2021-10-10,15543.41539072125,14334.285714285714,13264750,875,7
2021-10-11,18040.283457921232,16517.35714285714,15543009,876,7
2021-10-12,18732.253359131857,17468.928571428572,16073392,875,7
2021-10-13,18924.020756252452,17625.214285714286,16276935,874,7
2021-10-14,19239.81023137704,18040.5,16537334,875,7
2021-10-15,19705.486737534404,18270.285714285714,16909455,876,7
2021-10-16,17486.698666670865,16449.785714285714,14977334,876,7
2021-10-17,15300.613328944706,13993.42857142857,13110592,876,7
2021-10-18,18041.702286227886,16615.14285714286,15508089,877,7
2021-10-19,18532.69656659629,17178.5,15984598,877,7
2021-10-20,19071.761405538728,17700.785714285714,16433131,877,7
2021-10-21,19006.94289565167,17306.928571428572,16474129,877,7
2021-10-22,19823.536959380253,18288.428571428572,17039038,877,7
2021-10-23,17286.382918013052,16298.42857142857,14733521,874,7
2021-10-24,14940.673503896189,13719.142857142857,12741535,875,7
2021-10-25,14340.203986108316,12970.07142857143,12210871,875,7
2021-10-26,17624.166883727932,16130.357142857143,15134697,876,7
2021-10-27,18064.899437108066,16642.071428571428,15602369,878,7
2021-10-28,18798.900140074322,17353.428571428572,16168535,876,7
2021-10-29,19426.95797240284,18123.64285714286,16697102,876,7
2021-10-30,17577.261805252634,16358.0,15047958,875,7
2021-10-31,453.1968121499132,390.35714285714283,388485,875,7
2021-11-01,18262.554521162372,16800.785714285714,15709844,875,7
2021-11-02,17893.148914482554,16435.714285714286,15659399,878,7
2021-11-03,18315.203186857456,16893.928571428572,15943381,876,7
2021-11-04,19001.233949201305,17535.0,16471948,876,7
2021-11-05,19979.370039242207,18694.928571428572,17133482,876,7
2021-11-06,17871.917717736436,16786.428571428572,15312396,875,7
2021-11-07,15603.229217182277,14094.42857142857,13364267,876,7
2021-11-08,18072.114517173668,16755.785714285714,15513979,876,7
2021-11-09,18542.27630094988,17017.928571428572,15988808,877,7
2021-11-10,19156.659787675184,17645.85714285714,16451892,876,7
2021-11-11,19511.97508669375,18070.714285714286,16879482,879,7
2021-11-12,20315.92577040404,18739.35714285714,17468801,877,7
2021-11-13,17733.526728558074,16526.285714285714,15183400,876,7
2021-11-14,15667.375551676678,13979.42857142857,13398998,876,7
2021-11-15,18119.161041773663,16452.214285714286,15556153,876,7
2021-11-16,17319.47551122057,15974.857142857143,15742897,917,7
2021-11-17,18802.053072255432,17193.85714285714,16255295,878,7
2021-11-18,19161.6057549313,17562.214285714286,16599783,879,7
2021-11-19,19552.211671460558,17961.64285714286,16921582,879,7
2021-11-20,17324.493567449987,16158.42857142857,14898371,878,7
2021-11-21,15507.16261848691,14102.357142857143,13318663,878,7
2021-11-22,17782.415323060693,16446.35714285714,15361182,878,7
2021-11-23,18032.08807884526,16527.071428571428,15630813,880,7
2021-11-24,18127.83812451622,16548.428571428572,15655106,879,7
2021-11-25,19065.292685794127,17466.928571428572,16480993,877,7
2021-11-26,19566.63971271455,18061.928571428572,16818409,876,7
2021-11-27,17270.892613844968,16017.714285714286,14778110,876,7
2021-11-28,15408.529218408576,13843.857142857143,13185519,876,7
2021-11-29,17876.07163865267,16335.42857142857,15301765,876,7
2021-11-30,18210.64427719236,16675.285714285714,15672474,877,7
2021-12-01,18835.324333887398,17297.214285714286,16159519,877,7
2021-12-02,19306.100352585352,17555.928571428572,16489892,875,7
2021-12-03,19695.06040352574,18068.14285714286,17076230,879,7
2021-12-04,17541.803931589522,16318.285714285714,15054378,878,7
2021-12-05,15291.306933699463,13828.07142857143,13116296,878,7
2021-12-06,18113.840230401263,16391.5,15632880,880,7
2021-12-07,15335.93918347028,14023.642857142857,13205437,880,7
2021-12-08,17432.768891759035,15981.214285714286,15041269,880,7
2021-12-09,19254.85988519498,17829.714285714286,16749692,881,7
2021-12-10,19808.902157560635,18088.35714285714,17152739,881,7
2021-12-11,17470.09525747012,16056.285714285714,15102259,881,7
2021-12-12,15333.350764151846,13885.785714285714,13260449,881,7
2021-12-13,17738.20320700393,16186.92857142857,15381068,882,7
2021-12-14,18940.07807156086,17240.571428571428,16420123,882,7
2021-12-15,19267.686757151998,17586.5,16746257,884,7
2021-12-16,19554.071971103764,17850.428571428572,17056036,884,7
2021-12-17,20311.323386411997,18639.571428571428,17595654,883,7
2021-12-18,17985.404582599094,16619.285714285714,15525106,883,7
2021-12-19,16012.901303662398,14554.42857142857,13790179,882,7
2021-12-20,19056.87929616393,17296.928571428572,16501485,883,7
2021-12-21,19162.1553883224,17472.35714285714,16605887,884,7
2021-12-22,19123.98435476628,17543.428571428572,16565718,884,7
2021-12-23,18411.34771363084,17000.64285714286,15944153,884,7
2021-12-24,15178.265293263128,13969.785714285714,13115806,884,7
2021-12-25,7934.960646414581,6847.071428571428,6995593,884,7
2021-12-26,9979.14561409486,8758.785714285714,8614831,884,7
2021-12-27,11419.834482321128,10153.857142857143,9785301,884,7
