date,maxtp,mintp,rain,wdsp,hm,hg,sun,g_rad,pe,evap
2021-05-01,11.3,-1.9,0.0,4.8,7,12,7.6,1622,2.0,2.8
2021-05-02,12.9,2.0,0.0,5.4,12,16,7.5,1888,2.5,3.5
2021-05-03,12.5,5.1,10.2,13.6,27,38,2.4,1024,1.7,2.6
2021-05-04,10.1,2.6,1.3,18.5,27,36,8.0,1823,2.2,4.0
2021-05-05,10.6,0.3,2.7,8.7,16,25,6.4,1588,1.9,2.9
2021-05-06,12.0,-1.7,0.1,9.9,18,26,12.1,2489,2.8,4.4
2021-05-07,11.1,0.6,0.0,8.5,15,21,11.3,2394,2.7,4.1
2021-05-08,17.7,5.4,20.4,11.7,20,27,6.0,1872,2.8,4.3
2021-05-09,14.4,9.1,0.0,12.5,22,34,4.1,1289,2.5,3.6
2021-05-10,15.3,8.0,3.6,10.8,19,27,2.6,1312,2.4,3.5
2021-05-11,14.1,2.6,0.0,9.9,15,23,13.0,2716,2.9,4.7
2021-05-12,12.3,0.3,1.4,4.8,9,16,3.2,1620,1.9,2.8
2021-05-13,14.2,1.9,0.0,4.6,8,11,9.1,2068,2.5,3.5
2021-05-14,14.2,2.6,0.0,6.5,12,18,5.3,1872,2.3,3.4
2021-05-15,11.9,6.3,3.8,7.1,13,19,0.7,1009,1.5,2.2
2021-05-16,14.2,2.9,0.1,5.7,10,17,8.2,2334,2.6,3.9
2021-05-17,14.8,4.5,0.7,8.2,15,19,6.9,1769,2.5,3.6
2021-05-18,14.0,6.0,2.7,5.9,13,19,8.1,1822,2.4,3.5
2021-05-19,16.5,4.7,0.1,7.0,13,18,10.4,2371,3.3,4.7
2021-05-20,13.7,7.8,10.0,13.1,27,43,0.2,551,1.5,2.1
2021-05-21,11.2,7.6,6.2,14.8,20,26,0.0,560,1.1,1.8
2021-05-22,12.6,3.1,0.2,9.6,16,22,7.0,1900,2.5,3.8
2021-05-23,12.9,4.0,4.0,8.0,18,25,2.3,1324,2.1,3.0
2021-05-24,14.5,1.3,0.3,11.1,20,28,11.1,2518,3.0,4.8
2021-05-25,14.5,5.2,5.1,9.0,16,22,5.7,1550,2.3,3.4
2021-05-26,16.1,4.7,0.0,6.1,10,13,7.8,2034,2.8,4.0
2021-05-27,15.9,7.6,3.2,7.1,13,21,7.7,1900,2.9,4.1
2021-05-28,13.0,10.4,7.4,6.8,11,17,0.0,812,1.3,1.9
2021-05-29,17.1,8.3,0.0,4.8,11,14,10.4,2399,3.2,4.5
2021-05-30,20.4,5.6,0.0,5.7,13,18,15.2,2868,3.9,5.5
2021-05-31,19.7,5.7,0.0,7.4,15,23,13.9,2888,3.9,5.7
2021-06-01,19.6,9.8,0.0,6.5,12,15,11.9,2603,3.7,5.3
2021-06-02,17.9,9.7,0.0,6.4,11,15,3.4,1314,2.2,3.1
2021-06-03,19.1,9.5,0.0,9.0,15,24,11.3,2629,3.8,5.6
2021-06-04,18.9,9.1,0.0,7.5,13,19,7.3,1948,3.4,4.7
2021-06-05,18.1,7.9,0.0,7.0,12,18,3.0,1578,2.5,3.5
2021-06-06,17.2,7.1,0.0,5.2,11,14,6.6,1921,2.9,4.0
2021-06-07,19.0,7.9,0.0,5.3,11,18,8.0,2242,3.5,4.8
2021-06-08,19.2,11.6,0.0,8.5,14,25,1.7,1638,2.9,4.1
2021-06-09,21.3,13.6,0.0,8.0,14,24,3.6,1549,2.8,3.9
2021-06-10,21.6,13.9,0.0,10.3,18,27,5.4,1923,3.3,4.7
2021-06-11,18.4,11.0,0.0,11.2,20,28,4.8,1858,2.9,4.4
2021-06-12,20.0,10.1,0.0,6.5,11,15,1.4,1740,3.0,4.0
2021-06-13,23.7,12.5,0.0,5.0,12,21,0.7,1361,2.8,3.6
2021-06-14,17.8,9.2,0.2,10.5,18,25,4.1,1981,2.8,4.3
2021-06-15,22.8,5.7,0.0,7.3,15,25,8.1,2386,3.8,5.3
2021-06-16,18.1,9.6,0.6,7.2,13,20,1.3,1264,2.3,3.1
2021-06-17,18.2,7.9,0.0,8.2,14,21,7.5,2246,3.5,5.0
2021-06-18,16.0,4.0,0.0,6.5,11,16,8.4,2191,3.0,4.3
2021-06-19,16.8,2.9,0.0,6.2,14,20,7.9,2557,3.2,4.7
2021-06-20,16.4,9.3,0.0,8.4,14,23,11.8,2795,3.4,5.3
2021-06-21,18.0,6.3,0.0,11.5,16,23,9.6,2586,3.8,5.8
2021-06-22,18.0,5.4,0.2,7.6,15,20,10.6,2703,3.7,5.4
2021-06-23,18.6,9.6,8.1,6.1,10,14,0.0,767,1.5,2.0
2021-06-24,18.6,11.1,2.6,10.8,19,29,3.1,1550,2.3,3.5
2021-06-25,13.8,9.1,0.9,11.0,17,26,0.1,661,1.7,2.3
2021-06-26,14.7,8.8,0.0,10.2,15,24,2.3,1328,2.1,3.1
2021-06-27,18.2,6.6,0.0,8.5,13,21,9.1,2549,3.3,5.0
2021-06-28,19.8,6.5,0.0,5.0,9,15,4.2,1966,3.0,4.1
2021-06-29,22.7,7.0,0.0,5.7,9,14,14.9,2730,4.2,5.7
2021-06-30,19.4,7.6,0.0,6.2,10,14,8.1,2388,3.4,4.8
2021-07-01,19.6,6.1,0.0,4.7,10,13,6.5,2110,3.0,4.1
2021-07-02,19.5,10.6,0.0,6.1,11,18,3.1,1731,2.8,3.9
2021-07-03,18.8,12.4,0.7,6.4,11,18,0.7,1091,2.0,2.7
2021-07-04,19.9,12.5,9.9,6.2,14,20,3.4,1599,2.7,3.7
2021-07-05,19.0,10.5,0.5,7.5,12,19,7.1,2117,3.4,4.8
2021-07-06,16.6,8.8,14.5,6.2,11,16,0.8,832,1.5,2.0
2021-07-07,20.3,11.9,0.0,6.6,13,16,2.8,1518,2.7,3.7
2021-07-08,19.6,12.1,0.0,5.5,9,13,1.8,1542,2.7,3.6
2021-07-09,17.4,13.9,0.1,4.8,10,14,0.1,773,1.8,2.3
2021-07-10,19.4,9.9,0.0,6.1,10,15,5.2,1967,3.0,4.2
2021-07-11,16.4,13.1,5.7,7.9,13,19,0.9,903,1.6,2.3
2021-07-12,20.1,13.4,3.7,4.9,8,11,1.4,1027,2.0,2.7
2021-07-13,19.1,10.7,0.1,7.2,12,18,0.8,1167,2.1,2.9
2021-07-14,22.3,10.3,0.0,8.8,13,21,6.6,2288,3.4,4.9
2021-07-15,24.1,13.1,0.0,7.3,16,19,5.9,2160,3.7,5.0
2021-07-16,24.7,12.2,0.0,4.5,9,13,13.0,2649,4.3,5.7
2021-07-17,26.8,12.6,0.0,3.9,9,13,15.1,2763,4.6,6.1
2021-07-18,23.9,12.9,0.0,6.2,10,14,14.7,2786,4.2,5.9
2021-07-19,23.4,13.7,0.0,6.5,11,14,13.5,2706,4.1,5.7
2021-07-20,23.6,12.4,0.0,5.6,9,14,14.7,2695,4.1,5.6
2021-07-21,26.0,10.5,0.0,4.8,10,13,14.5,2762,4.4,5.9
2021-07-22,26.1,10.3,0.0,5.5,11,16,13.8,2475,4.1,5.5
2021-07-23,23.6,13.2,0.0,8.1,14,19,10.1,2275,3.3,4.8
2021-07-24,19.5,9.3,0.0,9.8,16,22,9.5,2344,2.9,4.6
2021-07-25,24.5,8.5,0.0,4.0,8,14,11.8,2501,3.9,5.2
2021-07-26,19.8,10.1,0.0,7.1,12,17,2.5,1056,2.0,2.7
2021-07-27,20.0,13.2,5.0,7.0,15,21,0.9,919,2.0,2.6
2021-07-28,16.7,10.7,5.1,11.0,25,36,3.8,1371,2.3,3.3
2021-07-29,17.7,10.2,0.0,9.6,17,26,5.1,1634,2.7,3.9
2021-07-30,18.2,12.6,26.9,8.0,15,21,0.4,912,1.8,2.4
2021-07-31,18.4,12.5,0.7,6.7,11,17,0.3,959,1.8,2.5
2021-08-01,18.5,10.7,0.0,6.1,11,17,2.1,1529,2.7,3.7
2021-08-02,16.5,7.4,0.0,5.8,11,15,2.0,1143,1.8,2.5
2021-08-03,17.8,10.0,0.8,3.5,7,10,2.5,997,1.8,2.3
2021-08-04,21.8,8.8,0.3,6.0,13,20,4.4,1684,2.8,3.8
2021-08-05,18.9,13.3,25.8,7.8,18,28,0.6,734,1.6,2.1
2021-08-06,17.9,13.6,1.6,11.3,18,32,2.0,1314,2.1,3.2
2021-08-07,16.9,13.7,9.1,12.5,19,31,1.4,1078,1.7,2.6
2021-08-08,19.1,11.9,0.4,12.8,22,31,5.2,1370,2.6,3.8
2021-08-09,18.6,11.0,3.8,8.3,13,20,2.7,1297,2.1,3.0
2021-08-10,19.1,12.3,0.0,5.9,10,15,2.4,1218,2.3,3.0
2021-08-11,19.5,8.7,1.5,7.7,15,28,4.3,1184,2.1,2.9
2021-08-12,19.4,9.9,3.4,9.3,20,32,5.7,1350,2.6,3.5
2021-08-13,19.4,12.0,0.0,10.0,15,29,5.1,1544,3.0,4.1
2021-08-14,15.2,12.3,2.2,5.6,11,18,0.0,639,1.2,1.7
2021-08-15,18.1,11.5,0.1,7.0,17,23,1.9,1012,1.9,2.5
2021-08-16,16.4,12.0,0.1,13.2,20,29,0.8,1017,2.0,2.9
2021-08-17,18.3,12.2,0.1,14.8,23,31,0.6,1200,2.1,3.2
2021-08-18,17.2,11.7,0.0,9.0,13,18,0.2,818,1.7,2.4
2021-08-19,19.2,10.2,0.4,4.5,10,12,1.0,1033,1.7,2.3
2021-08-20,20.5,12.9,3.9,6.1,12,18,0.5,782,1.5,2.0
2021-08-21,18.6,12.8,10.1,5.7,10,14,1.5,833,1.5,2.0
2021-08-22,19.2,12.2,0.2,5.5,11,15,1.8,888,1.6,2.2
2021-08-23,20.4,9.3,0.0,4.4,9,12,11.9,2082,2.7,3.7
2021-08-24,20.2,9.9,0.3,5.2,11,16,9.7,1925,2.5,3.5
2021-08-25,21.7,8.6,0.0,4.5,10,14,10.2,1970,2.6,3.6
2021-08-26,20.8,9.7,0.0,5.5,10,18,12.4,2012,2.6,3.6
2021-08-27,18.6,7.1,0.0,5.8,10,16,9.5,1916,2.3,3.3
2021-08-28,20.2,7.8,0.0,3.9,7,11,12.2,1974,2.6,3.6
2021-08-29,17.6,7.6,0.0,6.2,11,16,0.5,837,1.4,1.9
2021-08-30,15.0,10.6,0.1,8.9,14,20,0.0,506,1.0,1.4
2021-08-31,14.5,12.4,1.1,10.0,15,24,0.1,789,1.6,2.2
2021-09-01,17.3,8.6,0.0,8.6,13,23,1.4,967,1.5,2.2
2021-09-02,15.6,7.4,0.0,8.2,14,20,0.1,659,1.1,1.6
2021-09-03,16.0,8.7,0.0,7.7,13,17,0.0,626,1.0,1.5
2021-09-04,18.8,11.6,0.0,6.0,10,16,1.5,883,1.6,2.1
2021-09-05,21.7,13.3,0.0,6.5,11,16,5.0,1343,2.3,3.0
2021-09-06,22.9,11.9,0.0,4.2,7,12,11.1,1559,2.3,3.1
2021-09-07,21.1,11.4,0.1,6.0,11,13,9.1,1658,2.1,3.0
2021-09-08,22.5,11.8,0.1,5.2,12,15,1.4,776,1.6,2.0
2021-09-09,20.7,15.0,8.6,4.0,9,14,2.6,1005,1.6,2.1
2021-09-10,20.2,14.7,0.1,6.7,16,19,0.8,638,1.4,1.8
2021-09-11,19.4,11.6,0.0,9.0,15,18,3.7,1099,1.9,2.6
2021-09-12,14.2,7.2,0.5,5.5,9,14,0.0,428,0.9,1.2
2021-09-13,17.1,6.5,1.2,5.8,12,17,0.2,560,1.0,1.3
2021-09-14,19.5,12.3,0.0,5.1,9,12,8.0,1561,2.0,2.8
2021-09-15,18.5,12.1,0.0,4.8,11,14,0.1,513,1.2,1.5
2021-09-16,20.0,10.0,0.0,5.8,11,18,2.1,955,1.6,2.2
2021-09-17,18.2,12.7,6.3,7.1,13,19,0.0,459,1.1,1.5
2021-09-18,17.7,9.9,0.0,5.0,9,12,1.9,976,1.4,1.9
2021-09-19,18.2,10.3,0.1,7.0,13,19,6.2,1212,1.9,2.5
2021-09-20,18.1,9.4,0.0,6.9,13,15,4.8,1113,1.6,2.3
2021-09-21,17.3,11.7,0.0,6.9,12,20,2.1,881,1.3,1.8
2021-09-22,20.2,13.4,0.0,9.3,15,24,7.7,1320,2.2,3.0
2021-09-23,19.0,12.1,0.1,9.8,18,25,6.1,1092,1.7,2.4
2021-09-24,20.3,13.6,0.1,9.7,16,25,1.3,676,1.7,2.1
2021-09-25,22.5,15.2,0.0,5.8,10,16,2.9,975,1.8,2.3
2021-09-26,20.4,11.1,8.4,8.5,18,31,2.7,616,1.6,2.0
2021-09-27,15.6,8.7,10.4,7.5,24,36,6.9,1134,1.6,2.2
2021-09-28,14.7,6.3,0.1,8.0,19,25,5.5,1001,1.6,2.1
2021-09-29,14.3,5.0,1.2,10.6,18,25,7.3,1189,1.6,2.3
2021-09-30,15.9,10.4,4.7,10.2,21,31,0.1,406,1.0,1.3
2021-10-01,13.7,7.9,2.0,11.0,22,32,8.7,1214,1.4,2.1
2021-10-02,13.8,7.5,0.5,8.6,18,24,4.4,907,1.5,2.0
2021-10-03,15.0,7.3,2.4,11.4,19,33,6.1,992,1.6,2.2
2021-10-04,14.0,7.8,3.8,7.2,12,17,4.6,806,1.2,1.6
2021-10-05,14.5,7.1,0.8,14.3,22,31,7.3,1021,1.5,2.2
2021-10-06,17.2,7.1,1.0,7.0,12,21,0.9,415,0.9,1.2
2021-10-07,20.2,15.8,0.6,9.4,17,27,1.5,647,1.5,1.8
2021-10-08,19.4,14.7,6.3,6.8,14,21,2.6,607,1.3,1.6
2021-10-09,17.7,7.4,1.9,6.0,10,16,3.5,636,0.8,1.2
2021-10-10,15.1,6.1,0.2,8.1,14,18,6.3,967,1.1,1.5
2021-10-11,14.5,5.2,0.0,6.1,9,13,7.4,989,0.9,1.4
2021-10-12,14.7,8.6,0.0,8.6,13,18,0.3,494,0.9,1.2
2021-10-13,12.3,10.9,0.0,5.3,10,14,0.0,280,0.8,1.0
2021-10-14,14.4,10.7,0.0,7.8,14,23,0.1,376,1.0,1.3
2021-10-15,13.1,5.5,0.4,4.9,12,16,5.6,807,0.7,1.0
2021-10-16,15.1,6.2,4.6,5.4,11,19,1.9,417,0.7,1.0
2021-10-17,16.8,13.2,0.0,6.9,11,19,0.8,450,0.9,1.2
2021-10-18,19.0,13.8,0.8,7.7,16,25,1.4,528,1.1,1.4
2021-10-19,18.7,10.8,7.7,7.7,15,26,0.7,348,0.9,1.1
2021-10-20,12.3,7.3,5.3,7.9,23,31,4.5,580,0.9,1.2
2021-10-21,11.0,3.6,0.0,11.8,18,23,8.4,858,1.1,1.5
2021-10-22,12.5,6.7,0.2,9.4,16,23,3.5,595,1.1,1.4
2021-10-23,13.5,9.4,0.1,11.8,20,30,0.2,284,1.3,1.5
2021-10-24,16.1,9.7,0.3,10.3,17,26,6.9,769,1.1,1.4
2021-10-25,13.4,8.2,0.0,7.7,12,20,6.0,716,1.0,1.3
2021-10-26,17.0,9.7,0.7,13.5,19,33,0.5,333,1.5,1.7
2021-10-27,16.8,14.4,9.8,12.0,16,29,0.0,166,1.0,1.2
2021-10-28,15.2,10.1,10.7,4.5,12,18,0.9,263,0.5,0.6
2021-10-29,12.9,8.5,7.4,6.3,11,16,4.8,585,0.6,0.9
2021-10-30,11.6,5.7,0.1,6.7,14,22,7.9,717,0.6,0.8
2021-10-31,11.9,7.3,12.2,9.9,22,35,4.2,479,0.6,0.8
2021-11-01,10.2,4.7,1.2,12.9,22,35,2.1,366,0.8,1.0
2021-11-02,10.1,3.7,0.0,9.0,13,17,4.8,556,0.5,0.7
2021-11-03,10.0,3.4,0.0,11.7,19,26,7.6,687,0.6,0.8
2021-11-04,9.6,3.2,0.0,10.5,15,21,5.8,589,0.6,0.8
2021-11-05,11.0,6.6,0.0,7.5,15,19,0.2,328,0.6,0.8
2021-11-06,13.9,7.7,0.1,12.6,24,34,0.5,311,0.7,0.9
2021-11-07,11.0,4.4,0.0,10.5,21,31,6.7,533,0.7,0.8
2021-11-08,16.4,6.1,2.3,7.3,13,25,2.2,326,0.7,0.9
2021-11-09,14.0,9.6,0.1,8.6,15,22,2.0,274,0.6,0.8
2021-11-10,11.6,6.9,0.0,3.9,10,13,3.0,443,0.3,0.5
2021-11-11,14.3,3.7,1.1,9.1,19,29,0.1,219,0.6,0.8
2021-11-12,13.2,10.0,0.7,15.0,23,32,0.5,232,0.9,1.1
2021-11-13,12.3,9.6,0.0,6.1,17,23,0.1,214,0.4,0.5
2021-11-14,14.5,6.2,0.0,2.6,5,11,0.6,217,0.3,0.4
2021-11-15,12.4,5.9,0.7,5.5,15,19,1.7,279,0.2,0.3
2021-11-16,10.9,7.4,0.0,8.0,16,25,0.3,176,0.5,0.7
2021-11-17,10.9,6.8,0.0,9.1,15,22,0.2,260,0.6,0.7
2021-11-18,13.3,10.4,0.0,9.5,14,25,0.3,209,0.6,0.7
2021-11-19,12.3,8.9,0.0,6.5,11,18,2.9,353,0.5,0.6
2021-11-20,11.8,2.9,0.6,8.3,14,22,2.9,314,0.2,0.3
2021-11-21,7.6,0.8,0.0,11.0,18,24,7.2,468,0.4,0.5
2021-11-22,8.0,-1.2,0.0,6.1,9,13,7.4,442,0.2,0.2
2021-11-23,7.0,-0.1,0.0,5.9,10,13,0.0,123,0.4,0.5
2021-11-24,7.3,1.0,0.3,8.1,17,21,0.2,192,0.3,0.4
2021-11-25,6.1,0.7,0.0,10.7,16,24,2.6,345,0.4,0.4
2021-11-26,8.0,1.6,0.3,19.2,28,38,3.5,308,0.5,0.6
2021-11-27,4.8,0.2,0.0,16.6,26,39,4.6,353,0.8,1.0
2021-11-28,4.8,0.3,0.0,8.6,15,21,0.1,170,0.2,0.3
2021-11-29,9.1,1.4,0.0,8.8,17,26,0.1,167,0.3,0.4
2021-11-30,10.7,7.9,4.3,14.4,25,35,0.1,122,0.5,0.7
2021-12-01,8.0,1.1,0.5,16.4,26,38,2.8,241,0.4,0.5
2021-12-02,8.0,0.9,8.2,8.5,13,25,2.6,291,0.1,0.1
2021-12-03,9.0,5.8,1.3,8.0,23,33,0.0,87,0.4,0.5
2021-12-04,6.0,1.6,0.1,16.6,23,33,6.1,332,0.4,0.4
2021-12-05,6.4,-0.3,0.0,8.7,18,21,6.4,348,0.1,0.1
2021-12-06,7.3,1.9,2.4,10.5,17,28,4.8,281,0.2,0.2
2021-12-07,8.6,1.8,10.8,16.8,29,48,2.1,242,0.4,0.5
2021-12-08,5.7,1.9,8.5,24.4,35,50,0.1,112,0.8,1.2
2021-12-09,9.3,2.5,0.2,10.6,21,28,0.1,154,0.4,0.5
2021-12-10,5.9,1.1,0.0,11.8,17,25,6.3,313,0.3,0.3
2021-12-11,12.7,5.1,1.8,6.5,13,22,0.0,92,0.4,0.5
2021-12-12,13.6,7.6,0.5,10.8,23,39,0.4,168,0.7,0.8
2021-12-13,7.9,0.4,0.0,4.0,11,17,0.0,110,0.3,0.4
2021-12-14,9.0,-1.4,0.0,7.5,12,21,6.5,328,0.1,0.1
2021-12-15,11.2,7.3,0.0,8.5,14,24,6.2,308,0.3,0.3
2021-12-16,11.6,5.4,0.0,3.8,8,12,1.8,188,0.3,0.4
2021-12-17,9.3,5.7,0.0,7.0,10,19,0.0,70,0.6,0.7
2021-12-18,8.5,3.7,0.0,5.3,8,12,0.7,148,0.2,0.3
2021-12-19,7.5,3.3,0.0,6.0,9,15,0.0,98,0.2,0.3
2021-12-20,7.2,5.7,0.0,7.1,13,18,0.0,70,0.5,0.7
2021-12-21,6.6,4.8,0.0,9.3,17,25,0.0,58,0.8,1.0
2021-12-22,10.3,5.2,6.6,12.8,21,29,0.0,50,0.6,0.8
2021-12-23,13.0,4.3,0.0,7.4,13,22,2.6,225,0.2,0.2
2021-12-24,9.9,1.7,2.2,7.2,15,22,0.0,60,0.3,0.4
2021-12-25,8.9,6.3,20.1,14.2,20,32,0.0,20,0.3,0.5
2021-12-26,9.9,1.5,0.9,4.6,9,16,2.2,211,0.0,0.1
2021-12-27,9.1,0.1,0.1,6.5,12,17,0.0,115,0.2,0.3
2021-12-28,8.0,3.5,10.2,6.9,14,18,2.5,231,0.0,0.0
2021-12-29,13.8,5.5,2.9,11.5,24,41,3.1,232,0.4,0.5
2021-12-30,13.5,11.3,8.2,7.6,14,26,0.0,65,0.4,0.6
